Current Month Return,Prior 5 Months Return,Max Drawdown 6M,Rating,Expected Allocation This Month
50,50,-0.1,99.99,"375,000.00 €"
50,50,-0.2,99.99,"375,000.00 €"
50,50,-0.3,99.99,"375,000.00 €"
50,50,-0.4,99.98,"375,000.00 €"
50,50,-0.5,99.98,"375,000.00 €"
50,50,-0.6,99.97,"375,000.00 €"
50,50,-0.7,99.95,"375,000.00 €"
50,50,-0.8,99.94,"375,000.00 €"
50,50,-0.9,99.92,"375,000.00 €"
50,50,-1.0,99.90,"375,000.00 €"
50,50,-1.1,99.87,"375,000.00 €"
50,50,-1.2,99.85,"375,000.00 €"
50,50,-1.3,99.82,"375,000.00 €"
50,50,-1.4,99.79,"375,000.00 €"
50,50,-1.5,99.76,"375,000.00 €"
50,50,-1.6,99.72,"375,000.00 €"
50,50,-1.7,99.68,"375,000.00 €"
50,50,-1.8,99.65,"375,000.00 €"
50,50,-1.9,99.60,"375,000.00 €"
50,50,-2.0,99.56,"375,000.00 €"
50,50,-2.1,99.51,"375,000.00 €"
50,50,-2.2,99.47,"375,000.00 €"
50,50,-2.3,99.42,"375,000.00 €"
50,50,-2.4,99.36,"375,000.00 €"
50,50,-2.5,99.31,"375,000.00 €"
50,50,-2.6,99.26,"375,000.00 €"
50,50,-2.7,99.20,"375,000.00 €"
50,50,-2.8,99.14,"375,000.00 €"
50,50,-2.9,99.08,"375,000.00 €"
50,50,-3.0,99.02,"375,000.00 €"
50,50,-3.1,98.96,"375,000.00 €"
50,50,-3.2,98.89,"375,000.00 €"
50,50,-3.3,98.83,"375,000.00 €"
50,50,-3.4,98.76,"375,000.00 €"
50,50,-3.5,98.69,"375,000.00 €"
50,50,-3.6,98.62,"375,000.00 €"
50,50,-3.7,98.55,"375,000.00 €"
50,50,-3.8,98.48,"375,000.00 €"
50,50,-3.9,98.41,"375,000.00 €"
50,50,-4.0,98.34,"375,000.00 €"
50,50,-4.1,98.27,"375,000.00 €"
50,50,-4.2,98.19,"375,000.00 €"
50,50,-4.3,98.12,"375,000.00 €"
50,50,-4.4,98.04,"375,000.00 €"
50,50,-4.5,97.97,"375,000.00 €"
50,50,-4.6,97.89,"375,000.00 €"
50,50,-4.7,97.81,"375,000.00 €"
50,50,-4.8,97.74,"375,000.00 €"
50,50,-4.9,97.66,"375,000.00 €"
50,50,-5.0,97.58,"375,000.00 €"
50,50,-5.1,97.50,"375,000.00 €"
50,50,-5.2,97.43,"375,000.00 €"
50,50,-5.3,97.35,"375,000.00 €"
50,50,-5.4,97.27,"265,000.00 €"
50,50,-5.5,97.19,"265,000.00 €"
50,50,-5.6,97.11,"265,000.00 €"
50,50,-5.7,97.03,"265,000.00 €"
50,50,-5.8,96.96,"265,000.00 €"
50,50,-5.9,96.88,"265,000.00 €"
50,50,-6.0,96.80,"265,000.00 €"
50,50,-6.1,96.72,"220,000.00 €"
50,50,-6.2,96.64,"220,000.00 €"
50,50,-6.3,96.57,"190,000.00 €"
50,50,-6.4,96.49,"190,000.00 €"
50,50,-6.5,96.41,"190,000.00 €"
50,50,-6.6,96.33,"190,000.00 €"
50,50,-6.7,96.26,"190,000.00 €"
50,50,-6.8,96.18,"190,000.00 €"
50,50,-6.9,96.11,"165,000.00 €"
50,50,-7.0,96.03,"165,000.00 €"
50,50,-7.1,95.96,"165,000.00 €"
50,50,-7.2,95.88,"115,000.00 €"
50,50,-7.3,95.81,"110,000.00 €"
50,50,-7.4,95.73,"110,000.00 €"
50,50,-7.5,95.66,"100,000.00 €"
50,50,-7.6,95.59,"95,000.00 €"
50,50,-7.7,95.52,"90,000.00 €"
50,50,-7.8,95.44,"90,000.00 €"
50,50,-7.9,95.37,"90,000.00 €"
50,50,-8.0,95.30,"90,000.00 €"
50,50,-8.1,95.23,"90,000.00 €"
50,50,-8.2,95.16,"90,000.00 €"
50,50,-8.3,95.09,"90,000.00 €"
50,50,-8.4,95.03,"85,000.00 €"
50,50,-8.5,94.96,"85,000.00 €"
50,50,-8.6,94.89,"85,000.00 €"
